sample	chr	start_pos	end_pos
HCC827	chr7	53367781	54402258
HCC827	chr7	53367781	54528798
HCC827	chr7	53369700	54403091
HCC827	chr7	53369700	54528798
HCC827	chr7	54392154	54528798
HCC827	chr7	54404664	54528798
HCC827	chr7	54404673	54528798
HCC827	chr7	54529738	54877730
HCC827	chr7	54529738	54879811
HCC827	chr7	54529738	55197001
HCC827	chr7	54529738	55631348
HCC827	chr7	54529738	55632113
HCC827	chr7	54662390	55631348
HCC827	chr7	54663276	55632113
HCC827	chr7	55196863	55631348
HDQP1	chr13	99026749	99160851
HCC44	chr8	127054638	128452921
HCC44	chr8	127196295	127196747
HCC44	chr8	127325594	128233512
HCC44	chr8	127415748	127416196
HCC44	chr8	127569217	127570479
HCC44	chr8	127580333	127581327
HCC44	chr8	127594711	127595515
HCC44	chr8	127616343	127617261
HCC44	chr8	127641367	127642353
HCC44	chr8	127661564	127662915
HCC44	chr8	128136509	128137081
HCC44	chr8	128163149	128164164
HCC44	chr8	128187247	128187819
HCC44	chr8	128190086	128191215
HCC44	chr8	128459020	128683428
HCC44	chr8	128552926	128553978
HCC44	chr8	128673876	128675004
HCC44	chr8	129048607	129052424
UACC893	chr17	39329205	40331867
UACC893	chr17	39434348	39795604
UACC893	chr17	39502034	40331867
UACC893	chr17	40019960	40331867
UACC893	chr17	66007324	66012965
UACC893	chr17	75477544	75527818
UACC893	chr17	75477544	75676630
UACC893	chr17	75528241	75668102
UACC893	chr17	75529026	75668102
UACC893	chrX	74208977	74271622
UACC893	chrX	89203122	89204085
UACC893	chrX	89203968	89204085
UACC893	chrX	89203968	89204881
UACC893	chrX	89203968	89205031
UACC893	chrX	89203968	89206664
UACC893	chrX	89204765	89205894
UACC893	chrX	89205053	89205067
UACC893	chrX	89205907	89206664
UACC893	chrX	89205909	89206368
UACC893	chrX	89205909	89207526
UACC893	chrX	89205914	89206664
UACC893	chrX	89206766	89207480
UACC893	chrX	89207317	89207526
UACC893	chrY	6534307	6534408
UACC893	chrY	6534307	6535660
UACC893	chrY	6535077	6535660
OVSAHO	chr3	124570842	125171208
OVSAHO	chr3	125056091	125398716
OVSAHO	chr3	125171975	125597092
5637	chr3	9099507	9519220
5637	chr3	9521655	10184492
5637	chr3	9993791	10047588
5637	chr3	10187258	14005719
5637	chr3	12198395	12198898
5637	chr3	12452254	12452726
5637	chr3	13996823	13997479
5637	chr6	20350615	22839371
5637	chr6	20354278	22659195
5637	chr6	20355001	21882742
5637	chr6	21437986	22659195
5637	chr6	21731650	21882742
5637	chr6	21869324	21871150
5637	chr6	21953942	21954846
5637	chr6	22025443	22027212
5637	chr6	22512126	22514506
5637	chr6	22778285	22780885
HCC202	chr17	28176486	28254636
QGP1	chr12	61051687	62097169
QGP1	chr12	63293279	63458665
QGP1	chr12	63344888	63452805
QGP1	chr12	63345837	63452805
QGP1	chr12	64504243	66133872
QGP1	chr12	65244927	65303549
QGP1	chr12	65245002	65303549
QGP1	chr12	66136096	66600385
QGP1	chr12	66209555	69163981
QGP1	chr12	66209555	71139971
QGP1	chr12	66594561	67101099
QGP1	chr12	66594561	71139498
QGP1	chr12	66594561	71139971
QGP1	chr12	67068250	67612772
QGP1	chr12	67101798	69163981
QGP1	chr12	67604581	67775704
QGP1	chr12	67642559	71139498
QGP1	chr12	69165911	71139498
QGP1	chr12	71139013	71139971
QGP1	chr12	71139013	71795378
QGP1	chr12	71139974	71795378
QGP1	chr12	71796792	71962840
QGP1	chr12	71964358	72724411
QGP1	chr12	71964358	72779020
HCC1599	chr3	156674923	156878969
KNS62	chr20	11990778	12121222
CALU6	chr11	121619869	121619873
CALU6	chr11	121619869	121620059
CALU6	chr13	90413676	99540060
CALU6	chr13	93135479	93595828
CALU6	chr13	94680793	99032364
CALU6	chr13	96482489	96483204
CALU6	chr13	96482489	99827938
CALU6	chr13	100399711	100400017
CALU6	chr13	101849073	102049116
CHAGOK1	chr3	168992405	170364885
CHAGOK1	chr3	169026934	169304274
CHAGOK1	chr3	169408986	170101948
CHAGOK1	chr3	169643474	170101948
CHAGOK1	chr3	170189122	170426576
CHAGOK1	chr3	170281585	170426576
HCC38	chr8	80094640	81097188
NCIH1435	chr4	74280966	74656431
HT115	chr5	127809452	127809898
HT115	chr5	127811334	127836639
HT115	chr5	127829622	127836639
HT115	chr5	127837588	127981767
HT115	chr5	127837588	127995378
HT115	chr5	127849075	127972046
HT115	chr5	127900383	127965259
HT115	chr5	128065337	128069884
HT115	chr5	128128671	128138545
NCIH1694	chr1	39303543	39943109
NCIH1694	chr1	39310608	39311115
NCIH1694	chr1	39488432	39948847
NCIH1694	chr1	39489469	39491494
NCIH1694	chr1	39820163	39943109
NCIH1694	chr1	39820163	39971338
NCIH1694	chr1	39843560	39848067
NCIH1694	chr1	39944612	39971338
NCIH1694	chr1	39966869	39969261
NCIH1694	chr1	160294360	160346314
NCIH1694	chr1	160412064	160525810
NCIH1694	chr1	160412064	160624254
NCIH1694	chr1	160501227	160624254
NCIH1694	chr1	160501346	160503566
NCIH1694	chr1	160513178	160515957
NCIH1694	chr1	160519578	160523550
NCIH1694	chr1	160605655	160609826
NCIH1694	chr1	161123245	161132148
NCIH1694	chr1	161128461	161128987
NCIH1694	chr1	161130998	161131623
NCIH1694	chr1	161145877	161147174
NCIH1694	chr1	161807091	161876405
NCIH1694	chr1	162052640	162052830
NCIH1694	chr1	164827430	164899825
NCIH1694	chr1	164895506	164896097
NCIH1694	chr1	165905686	165906139
NCIH1694	chr1	165905816	165907780
NCIH1694	chr1	176997617	177043792
NCIH1694	chr1	230506902	230534261
NCIH1694	chr1	230515777	230516728
NCIH1694	chr1	230526214	230527995
NCIH1694	chr1	230814007	230901714
NCIH1694	chr1	230825760	230828366
NCIH1694	chr1	231462635	231486814
NCIH1694	chr1	231557047	231626836
